geo,name,time,Income per person (ppp$2021),GDP total,GDP per capita growth (%)
africa,Africa,1800,437.6992975,57102830744,
africa,Africa,1801,437.322912,57183022380,-0.09
africa,Africa,1802,436.9499991,57268094833,-0.09
africa,Africa,1803,436.5014596,57347632038,-0.1
africa,Africa,1804,436.0338495,57428983174,-0.11
africa,Africa,1805,434.7656264,57408910599,-0.29
africa,Africa,1806,434.5010158,57525420899,-0.06
africa,Africa,1807,435.6780098,57837696595,0.27
africa,Africa,1808,432.9287447,57632739942,-0.63
africa,Africa,1809,432.1910665,57698832050,-0.17
africa,Africa,1810,433.4952389,58051037204,0.3
africa,Africa,1811,429.3123784,57672731888,-0.96
africa,Africa,1812,429.1137136,57839652579,-0.05
africa,Africa,1813,432.4152677,58491784546,0.77
africa,Africa,1814,432.0826921,58664683738,-0.08
africa,Africa,1815,428.4091067,58392858269,-0.85
africa,Africa,1816,428.4890446,58641737181,0.02
africa,Africa,1817,428.5579504,58900271010,0.02
africa,Africa,1818,429.1026896,59235742111,0.13
africa,Africa,1819,426.1136195,59119205550,-0.7
africa,Africa,1820,425.5469688,59373582916,-0.13
africa,Africa,1821,428.6889267,60184251448,0.74
africa,Africa,1822,427.9300763,60486855870,-0.18
africa,Africa,1823,428.8676842,61071042996,0.22
africa,Africa,1824,429.8439028,61674310513,0.23
africa,Africa,1825,430.9803454,62314585745,0.26
africa,Africa,1826,431.9965341,62951775205,0.24
africa,Africa,1827,433.051735,63609097275,0.24
africa,Africa,1828,434.1677371,64290160923,0.26
africa,Africa,1829,435.3127454,64979022495,0.26
africa,Africa,1830,435.4886116,65525496936,0.04
africa,Africa,1831,435.8954791,66108011224,0.09
africa,Africa,1832,437.0770113,66804265660,0.27
africa,Africa,1833,438.3366683,67509512854,0.29
africa,Africa,1834,439.8072262,68256173625,0.34
africa,Africa,1835,441.2210792,69003289938,0.32
africa,Africa,1836,442.5668767,69749015968,0.31
africa,Africa,1837,443.9195273,70505143372,0.31
africa,Africa,1838,445.3812008,71288200463,0.33
africa,Africa,1839,447.1041308,72114675803,0.39
africa,Africa,1840,448.9299424,72959735100,0.41
africa,Africa,1841,450.6335292,73786832757,0.38
africa,Africa,1842,452.520803,74645922023,0.42
africa,Africa,1843,454.7781505,75568582017,0.5
africa,Africa,1844,456.7489264,76455000909,0.43
africa,Africa,1845,458.7708309,77361252587,0.44
africa,Africa,1846,460.7114608,78265235420,0.42
africa,Africa,1847,462.8399151,79212883063,0.46
africa,Africa,1848,466.2579102,80395086200,0.74
africa,Africa,1849,469.49816,81536074033,0.69
africa,Africa,1850,472.6696308,82653508750,0.68
africa,Africa,1851,477.5997753,84050233603,1.04
africa,Africa,1852,479.6536904,84928008600,0.43
africa,Africa,1853,482.255113,85887152493,0.54
africa,Africa,1854,482.2001444,86381208971,-0.01
africa,Africa,1855,484.9156102,87379826631,0.56
africa,Africa,1856,479.8931714,86987190256,-1.04
africa,Africa,1857,484.9865526,88433931082,1.06
africa,Africa,1858,482.1585243,88444432133,-0.58
africa,Africa,1859,483.6427821,89246708983,0.31
africa,Africa,1860,485.4009187,90105125433,0.36
africa,Africa,1861,484.7064514,90511291799,-0.14
africa,Africa,1862,478.9102191,89959258451,-1.2
africa,Africa,1863,481.0435265,90894103716,0.45
africa,Africa,1864,489.8501694,93106935129,1.83
africa,Africa,1865,483.3114929,92410458036,-1.33
africa,Africa,1866,485.135436,93312539557,0.38
africa,Africa,1867,490.039202,94819702690,1.01
africa,Africa,1868,491.1229311,95599681497,0.22
africa,Africa,1869,491.7629589,96311529125,0.13
africa,Africa,1870,494.3693667,97429170810,0.53
africa,Africa,1871,495.7252406,98294619565,0.27
africa,Africa,1872,510.3404975,101855308446,2.95
africa,Africa,1873,505.8012867,101624855048,-0.89
africa,Africa,1874,505.3270334,102212112469,-0.09
africa,Africa,1875,510.4336523,103942300723,1.01
africa,Africa,1876,516.1725135,105824057092,1.12
africa,Africa,1877,515.0169841,106306750259,-0.22
africa,Africa,1878,515.3581574,107105403171,0.07
africa,Africa,1879,520.8775497,109023258962,1.07
africa,Africa,1880,528.8976793,111521485480,1.54
africa,Africa,1881,527.1527652,112008966717,-0.33
africa,Africa,1882,525.5788666,112567739537,-0.3
africa,Africa,1883,515.7896738,111389247317,-1.86
africa,Africa,1884,513.2498638,111772129398,-0.49
africa,Africa,1885,509.0114857,111791233730,-0.83
africa,Africa,1886,514.8132755,114037801178,1.14
africa,Africa,1887,520.1798699,116229713706,1.04
africa,Africa,1888,525.7993657,118521204798,1.08
africa,Africa,1889,525.8981871,119571039043,0.02
africa,Africa,1890,526.7197228,120777081575,0.16
africa,Africa,1891,528.8313419,122273107300,0.4
africa,Africa,1892,528.086795,123098146183,-0.14
africa,Africa,1893,528.0247536,124065647605,-0.01
africa,Africa,1894,526.8991533,124795152935,-0.21
africa,Africa,1895,533.4611772,127370233044,1.25
africa,Africa,1896,535.4400792,128882195626,0.37
africa,Africa,1897,532.5172208,129227431163,-0.55
africa,Africa,1898,542.2008085,132660709915,1.82
africa,Africa,1899,535.696328,132168876204,-1.2
africa,Africa,1900,520.9721173,129634469806,-2.75
africa,Africa,1901,523.9343608,131505923417,0.57
africa,Africa,1902,532.6270702,134871689292,1.66
africa,Africa,1903,549.6095591,140425960689,3.19
africa,Africa,1904,551.2855958,142130769231,0.3
africa,Africa,1905,556.7188025,144839956450,0.99
africa,Africa,1906,563.9955975,148078456922,1.31
africa,Africa,1907,563.2839032,149255284243,-0.13
africa,Africa,1908,548.2450007,146617481802,-2.67
africa,Africa,1909,553.5055914,149239877189,0.96
africa,Africa,1910,542.7076835,147377168857,-1.95
africa,Africa,1911,546.5846026,149324947912,0.71
africa,Africa,1912,549.5691047,150907616489,0.55
africa,Africa,1913,554.4159374,152861674475,0.88
africa,Africa,1914,559.7622982,154977714331,0.96
africa,Africa,1915,567.5718829,157803947728,1.4
